repo,issue_number,issue_url,title,state,created_at,closed_at,updated_at,matched_queries,matched_terms,suspected_trigger,prior_work_match,novelty_status,evidence_type,linked_fix_url,evidence_detail,labels,notes,is_valid,trigger_category,fp_order_mechanism,fix_summary,invalid_reason
vllm-project/vllm,27076,https://github.com/vllm-project/vllm/issues/27076,[Bug]: AWQ Quantized Model Produces Non-Deterministic Outputs,closed,2025-10-17T04:10:07Z,2025-10-22T08:28:40Z,2025-10-22T08:28:40Z,"""nondeterministic"" ""floating point"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""rounding"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",deterministic;different output;floating point;MoE;non-deterministic;nondeterministic;precision;quantization;rounding;same seed,quantization_paths;moe_execution;cross_backend_architecture,,candidate_new_trigger,,,,bug,,,quantization_paths;moe_execution;cross_backend_architecture,,,
vllm-project/vllm,28317,https://github.com/vllm-project/vllm/issues/28317,[Bug]: Prefix caching leads to different outputs for Hermes-3-Llama-3.1-8B,closed,2025-11-07T18:47:56Z,2026-03-14T02:16:51Z,2026-03-14T02:16:51Z,"""nondeterministic"" ""bf16"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""fp32"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08
""nondeterministic"" ""precision"" repo:vllm-project/vllm is:issue is:closed created:2025-06-01..2026-06-08",bf16;deterministic;different output;fp32;nondeterministic;precision;prefix cache;speculative,quantization_paths;memory_layout;cross_backend_architecture,batch_size_load;tensor_parallel_all_reduce,known_prior_work,,,,bug;stale,,,quantization_paths;memory_layout;cross_backend_architecture,,,
